Date,Link,Title
2016-05-05,http://novostipmr.com/ru/news/16-05-05/politrussia-lozhka-horosha-k-obedu-ili-vnutrennyaya-borba-v,Politrussia: Ложка хороша к обеду или внутренняя борьба в Приднестровье
2016-05-20,http://novostipmr.com/ru/news/16-05-20/evgeniy-shevchuk-grazhdane-dolzhny-trebovat-ot-deputatov,Евгений Шевчук: Граждане должны требовать от депутатов выполнения предвыборных обещаний
2016-06-03,http://novostipmr.com/ru/news/16-06-03/pridnestrove-valyutnyy-krizis-v-razgare,Приднестровье: валютный кризис в разгаре
2016-06-10,http://novostipmr.com/ru/news/16-06-10/pridnestrove-v-respublike-pahnet-perevorotom,Приднестровье: в республике «пахнет» переворотом
2016-07-05,http://novostipmr.com/ru/news/16-07-05/v-pridnestrove-zhdut-rogozina-politobzor,В Приднестровье ждут Рогозина: политобзор
2016-08-17,http://novostipmr.com/ru/news/16-08-17/na-valyutnyh-torgah-prb-ne-bylo-prodano-inostrannoy-valyuty,На валютных торгах ПРБ не было продано иностранной валюты
2016-08-18,http://novostipmr.com/ru/news/16-08-18/prb-opublikoval-rezultaty-valyutnyh-torgov,ПРБ опубликовал результаты валютных торгов
2016-08-18,http://novostipmr.com/ru/news/16-08-18/prb-prokommentiroval-situaciyu-s-nesostoyavsheysya-prodazhey-3-mln,ПРБ прокомментировал ситуацию с несостоявшейся продажей 3 млн долларов 8-11 августа
2016-08-22,http://novostipmr.com/ru/news/16-08-22/vne-aukciona-prb-prodal-agroprombanku-polmilliona-dollarov-ssha,Вне аукциона: ПРБ продал «Агропромбанку» полмиллиона долларов США
2016-08-23,http://novostipmr.com/ru/news/16-08-23/na-valyutnom-aukcione-prb-prodano-poryadka-70-mln-leev,На валютном аукционе ПРБ продано порядка 70 млн леев
2016-08-24,http://novostipmr.com/ru/news/16-08-24/centrobank-krupnaya-torgovaya-set-imeet-konkurentnoe,Центробанк: Крупная торговая сеть имеет конкурентное преимущество в результате двойственности курсов
2016-08-24,http://novostipmr.com/ru/news/16-08-24/na-torgah-prb-zayavki-na-pokupku-inostrannoy-valyuty-ne-byli,На торгах ПРБ заявки на покупку иностранной валюты не были удовлетворены
2016-08-24,http://novostipmr.com/ru/news/16-08-24/nuzhno-ponyat-kto-est-kto-raskryvaem-podrobnosti-filma-okno-v,"«Нужно понять, кто есть кто»: Раскрываем подробности фильма «Окно в Европу»"
2016-08-26,http://novostipmr.com/ru/news/16-08-26/pyatnichnye-valyutnye-torgi-zavershilis-bezrezultatno,Пятничные валютные торги завершились безрезультатно
2016-08-29,http://novostipmr.com/ru/news/16-08-29/banki-ne-mogut-podelit-dengi-na-birzhe,Банки не могут поделить деньги на бирже
2016-08-30,http://novostipmr.com/ru/news/16-08-30/na-torgah-prb-zayavki-na-pokupku-inostrannoy-valyuty-ne-byli,На торгах ПРБ заявки на покупку иностранной валюты не были удовлетворены
2016-09-14,http://novostipmr.com/ru/news/16-09-14/prb-na-valyutnyh-torgah-prodal-300-tysyach-dollarov-ssha,ПРБ на валютных торгах продал 300 тысяч долларов США
2016-09-15,http://novostipmr.com/ru/news/16-09-15/prb-na-valyutnyh-torgah-prodal-500-tysyach-dollarov-ssha,ПРБ на валютных торгах продал 500 тысяч долларов США
2016-09-16,http://novostipmr.com/ru/news/16-09-16/prb-prodal-300-tys-dollarov-i-20-mln-leev,ПРБ продал 300 тыс. долларов и 20 млн леев
2016-09-16,http://novostipmr.com/ru/news/16-09-16/pridnestrove-bezalternativnyy-kandidat-ili-ruka-moskvy,Приднестровье: безальтернативный кандидат или «рука Москвы»
2016-09-19,http://novostipmr.com/ru/news/16-09-19/prb-na-valyutnyh-torgah-prodal-400-tysyach-dollarov-ssha,ПРБ на валютных торгах продал 400 тысяч долларов США
2016-09-21,http://novostipmr.com/ru/news/16-09-21/na-valyutnyh-torgah-bylo-prodano-40-mln-leev,На валютных торгах было продано 40 млн леев
2016-09-22,http://novostipmr.com/ru/news/16-09-22/na-valyutnyh-torgah-bylo-prodano-200-tysyach-dollarov-ssha,На валютных торгах было продано 200 тысяч долларов США
2016-09-26,http://novostipmr.com/ru/news/16-09-26/prb-na-valyutnyh-torgah-prodal-200-tysyach-dollarov-ssha,ПРБ на валютных торгах продал 200 тысяч долларов США
2016-09-27,http://novostipmr.com/ru/news/16-09-27/centrobank-na-valyutnyh-torgah-prodal-30-millionov-moldavskih-leev,Центробанк на валютных торгах продал 30 миллионов молдавских леев
2016-09-28,http://novostipmr.com/ru/news/16-09-28/prb-na-valyutnom-aukcione-prodal-200-tysyach,ПРБ на валютном аукционе продал $200 тысяч
2016-10-03,http://novostipmr.com/ru/news/16-10-03/igra-na-publiku-zhelaemoe-za-deystvitelnoe-ili-nlp-ot-deputata-ili,Игра на публику: Желаемое за действительное или НЛП от депутата Ильи Васильева
